Serena	 赛丽娜
sandal	 n. 凉鞋
punctual	 adj. 守时的，准时的
coincidence	 n. 巧合
pedestrian	 n. 步行者
march	 v. 行军，前进
pavement	 n. 人行道；路面
salute	 v. 行礼致敬，敬礼
abuse	 n. 虐待；滥用；辱骂 v. 虐待；滥用；辱骂
hostility	 n. 敌意，恶意
resolve	 n. 决心 v. 决定
prayer	 n. 祈祷
bomb	 n. 炸弹 v. 投弹，轰炸
supreme	 adj. 最高的，极度的
nationwide	 adj. 全国性的，全国的
constitution	 n. 宪法
constitutional	 adj. 宪法的
fundamental	 adj. 基础的，基本的
battle	 n. 战争，战役
happiness	 n. 幸福，快乐
liberty	 n. 自由
skim	 v. 浏览；轻轻掠过
evident	 adj. 明显的，显然的
self-evident	 adj. 不证自明的，不言而喻的
brief	 adj. 简短的，短暂的
discrimination	 n. 歧视
philosophy	 n. 哲学，人生观
Scout	 斯考特
Atticus	 阿提斯库
Jem	 杰姆
Arthur	 亚瑟
commit	 v. 犯罪，做（不合法的或错事）
Walter Cunningham	 沃尔特.坎宁安
Caroline	 卡罗琳
live out	 实践
creed	 n. 信条
brotherhood	 n. 手足情意；兄弟关系
oasis	 n. （沙漠中）绿洲；舒适的地方
Alabama	 阿拉巴马州（美国的一个州）
symphony	 n. 交响乐，交响曲
Jew	 n. 犹太人
Gentile	 n. 非犹太人，异教徒
Protestant	 n. 新教徒
Catholic	 n. 天主教徒
Negro	 n. [过时的]黑人
almighty	 adj. 全能的，有无限权力的
quotation	 n. 引语，引文，语录；引用
metaphor	 n. 隐喻，暗喻
simile	 n. 明喻
Ewell	 尤厄尔
Mayella	 梅耶拉
dominate	 v. 支配，占优势
efficient	 adj. 有效率的，效率高的
efficiently	 adv. 有效率地，效率高地
centigrade	 n. 摄氏温度
diameter	 n. 直径
recipe	 n. 菜谱
booklet	 n. 小册子
endeavour	 n. 尽力，竭力
competent	 adj. 有能力的，能胜任的
up to	 取决于
caption	 n. 标题，说明，字幕
digest	 v. 消化
beneath	 prep. 在……之下
adopt	 v. 收养；采纳
preview	 v. 预习，事先查看
frequent	 adj. 时常发生的，经常的
in detail	 详细地
manual	 n. 手册，指南
New Zealand	 n. 新西兰
assess	 v. 评定，评估
consult	 v. 请教，咨询
underneath	 adv. 在……的下面，在下面
shabby	 adj. 破旧的；衣衫褴褛的
rainbow	 n. 彩虹
brewery	 n. 酿酒厂，啤酒厂
acute	 adj. 敏锐的
bent	 adj. 弯曲的
cab	 n. 出租车，计程车
currency	 n. 货币，通货
lotus	 n. 荷花，莲花，睡莲
cuisine	 n. 烹饪（法）
educator	 n. 教育家
seminar	 n. 研讨会，讨论发言会
acquisition	 n. 获得，习得
ballet	 n. 芭蕾舞
album	 n. （收集相片、邮票等的）薄、册，唱片集
resemble	 v. 像，类似
cassette	 n. 盒式磁带
tend	 v. 倾向
tend to	 易于，往往会
tend to do sth	 易于做某事，往往会做某事
messy	 adj. 脏乱的，凌乱的，杂乱的
tiresome	 adj. 令人厌烦的，烦人的
vague	 adj. 含糊的，不清楚的
bonus	 n. 奖金，红利，津贴
auditory	 adj. 听的，听觉的
tactile	 adj. 触觉的，可感触的，触觉型的
oral	 adj. 口头的，口述的
component	 n. 成分，组成部分
concrete	 adj. 具体的，有形的
literary	 adj. 文学的
genre	 n. （文学作品的）类型，载体
recount	 n. 重新计算选票 v. 叙述
Agnes Grey	 艾格妮斯.格雷（人名，书名）
Jane Austin	 简.奥斯丁
Charlotte Bronte	 夏洛蒂.勃朗特
Tess of d’Urbevilles	 德伯家的苔丝（书名）
prejudice	 n. 偏见，成见
Wuthering Heights	 呼啸山庄（书名）
Margaret Mitchell	 玛格丽特.米切尔
Rudyard Kipling	 拉迪亚德.吉普林
consensus	 n. 共识，共同意见
equality	 n. 等同，平等
in force	 已生效；在实施中
twist	 n. 扭曲，歪曲
contradiction	 n. 反驳，矛盾
get round	 顺利应付；克服，说服某人同意原先反对的事
George Eliot	 乔治.艾略特
limitation	 n. 限制，局限性
heroine	 n. 女英雄；女主人公
obstacle	 n. 障碍，阻碍
ironic	 adj. 具有讽刺意味的，讽刺的
hopeless	 adj. 没有希望的，绝望的
under the name of	 用…… 的名字，在…… 的名字下
sceptical	 adj. 怀疑性的，持怀疑态度的
see through	 看破，识破
deception	 n. 欺骗，诡计
approval	 n. 赞成，承认
explicit	 adj. 直率的，明确的，清楚的
struggle against	 与……作斗争
outspoken	 adj. 坦率直言的
growth	 n. 成长，生长
childhood	 n. 孩童时期，童年
hail	 v. 向……欢呼，打声招呼，呼喊
revelation	 n. 启示，揭示
premier	 adj. 第一的，首要的
ambiguous	 adj. 含糊的，模糊的
concession	 n. 让步，让与某人之物
stand out	 杰出
critic	 n. 批评家，评论家
injustice	 n. 不公平，非正义
possess	 v. 拥有，占有
sponsor	 n. 发起人；担保人；赞助者
eccentric	 adj. 古怪的
Betsy Trotwood	 贝特西.特洛特伍德
generous	 adj. 慷慨的，大方的
merchant	 n. 商人
staight away	 立即，马上
warehouse	 n. 仓库，货栈
bargain	 n. 便宜货
burglar	 n. 窃贼
sequence	 n. 顺序
inspect	 v. 检查，视察
bungalow	 n. 平房
chain	 n. 链条，锁链
dangle	 v. 悬挂，摇摆，使晃动
semicircle	 n. 半圆形
squeak	 n. 尖叫声，吱吱声 v. 发出尖叫声
pull oneself up	 立起身来
roof	 n. 屋顶，房顶
collar	 n. 衣领
bench	 n. 长椅子
pine	 n. 松树
claw	 n. 爪，脚爪
squirrel	 n. 松鼠
romance	 n. 恋情；浪漫故事，浪漫史
vain	 adj. 虚荣的；徒劳的
in vain	 徒劳的
signal	 n. 信号
discount	 v. 不信任；减价 n. 打折，折扣
sensitive	 adj. 敏感的
decline	 v. 拒绝；衰退；下降
arrogant	 adj. 傲慢的，自大的
at length	 详细地；最后
enquire	 v. 询问
against one’s will	 违心地
think ill of	 对……评价不高
do everything in one’s power to	 竭尽全力去做某事
rejoice	 v. 欣喜，高兴，喜悦
initial	 adj. 最初的，初始的
fault	 n. 错，缺点
hasty	 adj. 匆忙的，慌忙的
hastily	 adv. 匆忙地，慌忙地
sensible	 adj. 有感觉的，明智的
