arrogant	 adj. 傲慢的, 自大的
snooty	 adj. 傲慢的, 自大的, 鄙视别人的
abstruse	 adj. 奥妙的, 深奥的
octogenarian	 adj. 八十岁的, 八十多岁的
platonic	 adj. 柏拉图哲学的, 柏拉图主义的, 理想的, 不切实际的
pied	 adj. 斑驳的, 杂色的
purblind	 adj. 半盲的, 惺松眼的, 迟钝的
translucent	 adj. 半透明的, 透明的
concomitant	 adj. 伴随的
retentive	 adj. 保持的
reserved	 adj. 保留的, 包租的
vindictive	 adj. 报复性的
retributive	 adj. 报应的
disaffected	 adj. 抱不平的, 有叛意的, 不服的
grumble	 adj. 抱怨地表示, 嘟囔地说
mutinous	 adj. 暴动的, 反抗的
riotous	 adj. 暴动的, 骚乱的, 狂欢的
touchy	 adj. 暴躁的, 难以处理的, 易起火的
vile	 adj. 卑鄙的, 可耻的, 恶劣的, 可憎的, 简陋的, 低廉的, 坏透的, 不足道的
abject	 adj. 卑鄙的, 可怜的
mingy	 adj. 卑鄙的, 吝啬的
humble	 adj. 卑下的, 微贱的, 谦逊的, 粗陋的
mournful	 adj. 悲哀的
plaintive	 adj. 悲哀的, 哀伤的
doleful	 adj. 悲哀的, 阴沉的, 寂寞的
woeful	 adj. 悲伤的, 悲哀的, 可怜的, 遗憾的
distressing	 adj. 悲伤的, 使痛苦的, 使烦恼的
boreal	 adj. 北的
dorsal	 adj. 背的, 脊的
treacherous	 adj. 背叛的, 背信弃义的, 奸诈的, 叛逆的
perfidious	 adj. 背信弃义的
bereft	 adj. 被剥夺的, 失去亲人的, 丧失的
bushed	 adj. 被草丛笼罩的, 疲倦的
unfettered	 adj. 被除去脚镣的,无拘无束的
guarded	 adj. 被防护者的, 被看守着的, 被监视着的, 警戒着的
downtrodden	 adj. 被践踏的, 被蹂躏的,被压制的
dopey	 adj. 被麻醉的, 笨的, 迟钝的
derelict	 adj. 被抛弃了的
preoccupied	 adj. 被先占的, 全神贯注的
forlorn	 adj. 被遗弃的
outcast	 adj. 被逐的, 被排斥的, 被遗弃的
vernacular	 adj. 本国的
ontic	 adj. 本体的, 实体的
indigenous	 adj. 本土的
hulking	 adj. 笨重的, 粗陋的
clumsy	 adj. 笨拙的
logged	 adj. 笨拙的, （树）劈成木材的
unwieldy	 adj. 笨拙的, 不实用的, 难处理的, 难使用的, 笨重的
gauche	 adj. 笨拙的, 粗鲁的, 偏转的, 无礼的
uncouth	 adj. 笨拙的, 粗俗的, 不舒适的
nasal	 adj. 鼻的, 鼻音的, 护鼻的
figurative	 adj. 比喻的, 修饰丰富的, 形容多的
compulsory	 adj. 必需做的, 必修的, 被强迫的, 被强制的, 义务的
derogatory	 adj. 贬损的
prolate	 adj. 扁长的
equable	 adj. 变动小的, 平静的
protean	 adj. 变化多端的
inconstant	 adj. 变化无常的
pejorative	 adj. 变坏的, 轻蔑的
polemical	 adj. 辩论法, 辩论术, 好辩的, 挑起争端的
measured	 adj. 标准的, 整齐的, 有规则的
normative	 adj. 标准化的
superficial	 adj. 表面的, 肤浅的, 浅薄的
convex	 adj. 表面弯曲如球的外侧, 凸起的
interrogative	 adj. 表示疑问的, 质问的
urbane	 adj. 彬彬有礼的, 文雅的
complaisant	 adj. 彬彬有礼的, 殷勤的, 柔顺的
morbid	 adj. 病的, 由病引起的, 病态的, 恐怖的
wavy	 adj. 波状的, 摇摆的, 起浪的, 波动的, 不稳的
avuncular	 adj. 伯父的, 伯父似的
erudite	 adj. 博学的
halting	 adj. 跛的, 犹豫的, 蹒跚的
adjutant	 adj. 补助的
ancillary	 adj. 补助的, 副的
raptorial	 adj. 捕食生物的, 猛禽类的
incommunicative	 adj. 不爱说话的, 沉默寡言的
fidgety	 adj. 不安的, 不沉着的, 烦燥的, 难以取悦的
labile	 adj. 不安定的, 易发生变化的
immoral	 adj. 不道德的, 邪恶的, 放荡的, 淫荡的
incessant	 adj. 不断的, 不停的
infertile	 adj. 不肥沃的, 贫瘠的, 不毛的, 不结果实的
indiscriminate	 adj. 不分皂白的, 不加选择的
recusant	 adj. 不服权威的
iniquitous	 adj. 不公正的
inconsiderate	 adj. 不顾及别人的, 轻率的
apolitical	 adj. 不关心政治的
ignoble	 adj. 不光彩的
anomalous	 adj. 不规则的, 反常的
unabashed	 adj. 不害羞的
ineligible	 adj. 不合格的
incompetent	 adj. 不合格的, 不胜任的
unconscionable	 adj. 不合理的, 不受良心节制的, 过度的
inconsequential	 adj. 不合逻辑的, 不合理的
unbecoming	 adj. 不合身的
undesirable	 adj. 不合需要的, 不受欢迎的, 令人不快的
nonskid	 adj. 不滑的
implacable	 adj. 不缓和的, 不安静的
impenitent	 adj. 不悔悟的, 顽固的
invulnerable	 adj. 不会受伤害的, 无懈可击的
infelicitous	 adj. 不吉利的, 不幸的, 不合适的
reckless	 adj. 不计后果的
unaffected	 adj. 不矫揉造作的, 自然的, 真挚的, 未受影响的, 未被感动的
filthy	 adj. 不洁的, 污秽的, 丑恶的
unversed	 adj. 不精通的, 不熟练的, 无知的, 无经验的
asymmetric	 adj. 不均匀的, 不对称的
ineluctable	 adj. 不可避免的, 无法逃避的
immutable	 adj. 不可变的, 不变的, 不能变的, 永恒的
irresistible	 adj. 不可抵抗的, 不能压制的
imponderable	 adj. 不可估计的
lamentable	 adj. 不快的
intolerant	 adj. 不宽容的, 偏狭的
incoherent	 adj. 不连贯的, 语无伦次的
discrete	 adj. 不连续的, 离散的
maladroit	 adj. 不灵巧的
malcontent	 adj. 不满的
disgruntled	 adj. 不满的, 不高兴的
discontented	 adj. 不满意的
