hurdling	 n. 跨栏运动
tropical	 adj. 热带的
splendour	 n. 壮观，杰出，壮丽
timetable	 n. 时间表，时刻表
heritage	 n. 遗产，继承物
aboriginal	 adj. 土著的，土生的 n. 澳大利亚的土著居民
out of respect	 出于尊敬
fortnight	 n. 两个星期
reservation	 n. 保留，预定
Hobart	 奥巴特（澳大利亚塔斯马尼亚岛东南岸港市）
highway	 n. 公路，大路，（美）高速公路
cradle	 n. 摇篮；发源地
rainfall	 n. 降雨，降雨量
agriculture	 n. 农业，农学
sow	 v. 播种；传播
bachelor	 n. 单身汉；（文理）学士
correspond	 v. 符合；通信
correspond with	 与……通信
owe	 v. 欠（债等）；感激
owe to	 把……归功于
enclosure	 n. 围地,（用于特定目的的）围场
authority	 n. 权力，权威；当局
desperate	 adj. 不顾一切的，绝望的
shrink	 v. 收缩，（使）皱缩，缩短
barbecue	 n. 烧烤野餐；金属烤架
talk… into…	 说服某人做某事
wind	 v. 绕，缠
limb	 n. 肢，翼；（树的）大枝，主枝
venom	 n. 恶意，怨恨；毒液
venomous	 adj. 有毒的，分泌毒液的
anti-venom	 n. 抗毒
paralyze	 v. 使瘫痪，使麻痹
sickness	 n. 疾病；恶心
recover	 v. 痊愈；复原
funnel	 n. 漏斗
funnelweb spider	 n. 漏斗网蜘蛛
snatch	 v. 抢走
amongst	 prep. 在……中间，在……之中
vinegar	 n. 醋
unconscious	 adj. 不省人事的，未发觉的；无意识的
pollinate	 v. 对……授粉
pollinator	 n. 虫媒
courtyard	 n. 庭院，院子，天井
balcony	 n. 阳台，包厢
exotic	 adj. 异国情调的，外来的，奇异的
date back to	 追述到，远在……年代
distant	 adj. 远的，远处的
Egypt	 n. 埃及
goods	 n. 货物
scale	 n. 磅秤，天平盘
conflict	 n. 冲突；斗争
missionary	 n. 传教士 adj. 教会的，传教的
d’Incaville	 汤执中（法）
Joseph	 约瑟夫
endeavour	 n. 尽力，竭力
anchor	 n. 锚 v. 抛锚，锚定
Nathaniel Ward	 纳撒尼尔.沃德
tight	 adj. 紧的；紧密的
seal	 v. 封闭，密封
container	 n. 容器
Wardian case	 沃德箱（培育蕨类植物等的玻璃容器）
restriction	 n. 限制，约束
fluency	 n. 流利，流畅
shave	 v. 剃，刮
thunderstorm	 n. 雷雨，暴雷
pirate	 n. 海盗
Father Farges	 法尔热神父（法）
appeal	 n. 吸引力；呼吁
appeal to	 （对某人）有吸引力
dove	 n. 鸽子
botanist	 n. 植物学家
chrysanthemum	 n. 菊花
red date	 红枣
lower	 v. 降低，跌落，减弱
beard	 n. 胡须
ripe	 adj. 熟的，成熟的
irrigation	 n. 灌溉
weed	 n. 野草，杂草
spear	 n. 矛，标枪
string	 n. 线，细绳；一串
spade	 n. 铲，铁锹
postpone	 v. 延迟，推迟
pyramid	 n. 金字塔
monument	 n. 纪念碑
pitcher plant	 n. 猪笼草
Raffesia arnoldii	 n. 大王花
rot	 v. 腐烂，腐败
evolve	 v. 进化，发展，进展
evolution	 n. 进化；演变
nectar	 n. 花蜜
attach	 v. 缚上，系上，附加
wasp	 n. 黄蜂
beetle	 n. 甲虫
bat	 n. 蝙蝠
moth	 n. 蛾
humming-bird	 n. 蜂鸟
typical	 adj. 典型的，有代表性的
petal	 n. 花瓣
tube	 n. 管，管子
delicate	 adj. 微妙的；精巧的；脆弱的
fragrant	 adj. 芬芳的，香的
daisy	 n. 雏菊
odour	 n. 气味，臭味
odourless	 adj. 没有气味的，无嗅的
give out	 发出（气味，热等）；分发
dull	 adj. 不鲜明的，阴暗的
musty	 adj. 发霉的，有霉味的
fruity	 adj. 果味的，（酒）有葡萄味的
billboard	 n. （US）（户外）布告板，广告牌
casual	 adj. 偶然的；随意的；临时的
garment	 n. 衣服，外衣
turn… into	 （使）变成
advertiser	 n. 登广告者，广告客户
advert	 n. 广告
inform	 v. 通知
association	 n. 协会；联系；关系
target	 n. 目标；对象；靶子
fit into	 适合
basis	 n. 基础，根据
technique	 n. 技术，技巧
lane	 n. 车道，行车线
feature	 n. 特征，特色；容貌；特写 v. 以……为特色
conscience	 n. 良心，道德心
worthy	 adj. 可敬的
corporation	 n. 公司；法人，法人团体
budget	 n. 预算
expense	 n. 费用，代价
broadcast	 n. 广播，播音 v. 广播，播放，播送
rely	 v. 依赖，信赖
rely on	 依赖，依靠
visual	 adj. 看的，视觉的
generate	 v. 发生，产生
response	 n. 反应，响应；回答
stereo	 n. 立体声，立体声器材
have no use for	 不需要；讨厌，对……不耐烦，厌恶
refresh	 n. 使（精神）振奋，使恢复；更新
partly	 adv. 部分，一定程度上
